學校,系所,學系特色,學科意涵,高中階段可以準備的學習方法或方向,適合從事工作,多元能力,性格特質,網址,學類
國立臺灣大學,化學系,專任教師31位、合聘教師7位及講座9位，在有機、無機、物化、分析、材料、化學生物學、奈米等研究均有傑出表現。藏書2萬餘冊、中西文期刊2百餘種。儀器設備有多部核磁共振儀、X-光繞射儀、質譜儀、光譜儀、雷射光譜系統及各式層析儀等貴重儀器。每年舉辦多場國內外研討會及國際化學工作坊。,化學從探究原子間的鍵結為基礎，開發改變化學鍵結的合成反應來創造新分子結構，發展鑑定結構與分析性質的方法，揭開分子結構與化性及物性的因果關聯，再將其應用於設計、合成具有特定功能的新分子以開創全新的應用科技。,根據個人在校資源或興趣時間多寡，可以考慮以下自我準備的管道：1 化學相關的選修課宜多修修滿，以拓展化學知識面向。閱讀深度恰當的科普文獻也能增進對化學基礎或應用的涉獵與理解。2 編寫優良的大學普通化學教課書或線上課程與高中化學有不少重疊的主題，內容深度也更為豐富完整，也是自學的良好起點。3 如果有機會進行專題研究，也能就選定的主題設計實驗，更深入地學習。4 各種化學競賽也篩選與培訓對化學感興趣的學生。,"['材料研發人員', '特用化學工程師', '實驗化驗人員']","['邏輯推理', '數理科學', '專注力', '主動學習', '自省促進', '社會覺察與合作', '問題解決', '運作分析', '系統運作', '手工操作', '語文理解與表達', '敏銳創造', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工']","['堅毅負責', '探究冒險', '變通開創', '深思力行', '主動積極', '自信肯定', '親和接納']",https://www.ch.ntu.edu.tw/Default.html,化學學類
國立臺灣大學,地質科學系,本系探索地球的奧秘與各種地質環境現象的成因，課程豐富多樣，學理與實作並重，與社會、環境互動性高。本系雖規模不大，但系風開放，研究與教學國際化，並鼓勵創新思維；老師與學生亦熱心服務，樂於貢獻所學於社會。,本系為地質科學系，屬於地球科學相關系所。本系研究之重點領域包含基礎地質學（例如：礦物岩石、地體構造、構造地質、古生物、地質資源等方面）、地球物理、地球化學、地質災害（山崩、土石流、火山、地震等）、環境地質學，以及日益重要的全球變遷、人類世研究等。,1. 學習各項基礎數學與理科知識，並探索與發展個人興趣2. 訓練寫作、口說、資料整理與繪製圖表等表達能力3. 培養健康生活好習慣，以具有健康的身體與心理,"['行政人員', '教授／副教授／助理教授', '地質及地球科學研究人員']","['批判思考', '問題解決', '語文理解與表達', '敏銳創造', '邏輯推理', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工', '專注力', '數理科學', '主動學習']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",http://web.gl.ntu.edu.tw/,地球科學學類
國立臺灣大學,心理學系,國內領域最完整、師資最齊、校友最傑出的心理系。,Psychology是 psyche與logos 兩個字的合併，意指「心靈的道理」。是以科學方法研究人類心靈現象，由不同的層次(如細胞分子層次、個人層次、群體層次或文化層次)、不同的面相(如共同面向、差異面向、異常面向)探討心智活動的機制。,在課間/課外參加團體活動，增進協同作業能力。,"['市場調查／市調分析', '人力資源專員', '心理學研究人員']","['邏輯推理', '批判思考', '主動學習', '數理科學', '快速知覺與總結', '語文理解與表達', '手工操作', '記憶詮釋', '自省促進', '社會覺察與合作', '說服協商', '問題解決']","['主動積極', '深思力行', '自信肯定', '親和接納']",http://www.psy.ntu.edu.tw,心理學類
國立臺灣大學,地理環境資源學系,"本系成立於1955年，包含學士班、碩士班、博士班之完整班別，畢業校友約1,800人，貢獻社會於地理教育、地球科學、地理資訊、城鄉發展與規劃等領域。目前有15位專任教師，生師比低，提供學生完整且紮實的地理學教育。課程架構採T字型設計，建立學生地理學共同基礎以及可選擇的自然地理、人文地理、地理資訊等專業領域。",地理學探討地表現象的空間意涵，關心人類與環境的關係。自然地理涵蓋地質、地形、水文、氣候、生態等地球系統範疇。人文地理涵蓋城鄉發展、跨界治理、空間與社會不平等、全球化與地方文化。地理資訊科學則利用資訊整合地表自然與人文現象，從環境觀測、紀錄、分析到決策支援。,地理學探討地表現象的空間分布與成因， 著重空間、人地、區域觀點的解析， 更強調人類與環境的關係，系上老師的教學可以分為 自然地理、人文地理、地理資訊這三個主要領域， 提供了地形、氣候、文化、都市、地理資訊系統、遙測等等課程。 ，學生不只是要鑽研單一領域的知識， 建議培養多項專長，學習用不同角度看待事物。,"['行政人員', '系統分析師', '環境工程人員']","['批判思考', '主動學習', '問題解決', '程式設計', '社會覺察與合作', '語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工', '專注力']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",http://www.geog.ntu.edu.tw,地理學類
國立臺灣大學,大氣科學系,大氣科學是一門兼容理論與應用的科學，課程內容首重於物理、數學及資訊科學的基礎訓練，與它們在大氣中的應用。本系課程內容依學生的興趣及未來發展可分為天氣動力、氣候系統、大氣環境、大氣觀測及地球科學教育等五大領域。本系的教育遠景在於朝向培育具有宏觀視野的人才。我們期盼本系所培育之學生，除具備大氣科學專業知識外，並能對整個環境及地球系統有深刻的瞭解，為人類永續發展及未知世界開創新局面。,大氣科學研究大氣中水氣、能量相關的各式現象，主要分成三大領域: (1) 天氣動力與劇烈天氣領域 (2) 氣候與地球系統領域 (3) 環境與大氣物理化學領域。目前借助程式處理資料的比重很高。,大氣科學包含數學物理，計算上非常複雜，在高中課程中容易流於死背結果以通過考試。但在大學注重物理過程背後的原理與推導，因此須具備數學物理等能力才能融會貫通課程內容，若用背誦的方式學習大氣系課程成效不彰。除了數理推導之外，也需要將推導的結果透過電腦計算，因此程式語言撰寫能力也必須具備。雖然在大學課程中會完整教學，但如果能在高中時提早培養程式語感，在大學相關課程上學習會更容易上手。,"['教授／副教授／助理教授', '氣象學研究人員', '中學教師']","['邏輯推理', '數理科學', '記憶詮釋', '敏銳創造', '語文理解與表達', '快速知覺與總結', '空間定向', '專注力', '批判思考', '主動學習']","['堅毅負責', '深思力行', '探究冒險', '變通開創', '主動積極', '樂群敬業', '自信肯定', '開朗活潑']",https://www.as.ntu.edu.tw,大氣科學學類
國立臺灣大學,政治學系,本系學士班區分為政治理論、國際關係、公共行政三組，並設有碩士班、博士班與「政府與公共事務」碩士在職專班。本系的教學與研究強調跨領域與國際化，此外，本系沿襲臺灣大學學術自由、學風開放的傳統，鼓勵多元思考與創新。這些特色，使臺大政治學系成為國內最完整和最具代表性的政治學系。,政治是管理眾人的事，政治系是從學理基礎上設計與批判管理制度、情況和實踐。本系設政治理論組、國際關係組與公共行政組分別培養具民主素養與全球視野，獨立思考、觀察、批判國內政治、國際關係、與行政體制等人才。,保持對相關議題的敏感杜、思辯能力和論述能力。,"['哲學／歷史／政治相關研究人員', '公家機關相關人員', '新聞採訪記者']","['語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '記憶詮釋', '快速知覺與總結', '專注力', '批判思考', '主動學習', '社會覺察與合作']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",https://politics.ntu.edu.tw/,政治學類
國立臺灣大學,經濟學系,臺大經濟系是臺灣歷史最悠久、最負盛名之經濟系所，為培育臺灣財經領導人才的搖籃。本系透過各種入學甄選管道選拔，每年招收120位學士班學生，均為全國最優秀的學生。本系提供的課程包含範圍極廣，兼具理論與實務，其中亦有許多以英語授課之課程。本系所學生有許多參與海外教育的機會；亦提供多項與其它國家學校簽訂之交換生計畫、雙聯學位計畫及訪問學生計畫。,經濟學是以嚴謹的邏輯分析和數理工具，來討論如何理性分配有限的資源以滿足人類無窮的欲望。具體而言，透過對商品與服務市場和生產要素市場的了解，以及對廠商行為、消費者行為和政府相關政策的分析，我們可以進一步去理解和解決其間的個體和總體經濟問題。,"高中生可利用數學的演算推理培養邏輯推理能力,並累積英語文能力.","['財務專業人員', '資料分析人員', '公家機關相關人員']","['邏輯推理', '數理科學', '批判思考', '問題解決', '資源管理', '語文理解與表達', '敏銳創造', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工', '專注力']","['深思力行', '變通開創']",https://econ.ntu.edu.tw/,經濟學類
國立臺灣大學,社會學系,臺灣大學社會系提供完整、多元、跨域、創新的社會學教育，課程兼顧社會學傳統與新興主題，教學目標在培育具有社會學知識且能夠溝通領導、批判思考、主動學習、合作共榮的頂尖人才。在研究方面，本系教師關注多種貼近台臺灣及東亞社會發展的社會學課題，推動具前瞻性的研究方向，以嚴謹的學術發現作為政策制訂與促進公共利益為努力的目標。,社會學是用科學方法研究各種社會現象的一門社會科學，試圖找尋社會關係、人際互動，以及文化的模式。透過社會學的視角，我們在認識自身及他人的處境時，能在「比自己更大」的社會脈絡中來理解，進而找出更有效解決社會問題的方式。,閱讀深度新聞報導，或社會學導論相關書籍，參與社會議題的公民團體活動,"['研究助理', '新聞採訪記者', '社會／人類學研究人員', '中高職教師', '人力資源專員']","['批判思考', '主動學習', '邏輯推理', '社會覺察與合作', '語文理解與表達', '敏銳創造']",['主動積極'],http://sociology.ntu.edu.tw,社會學學類
國立臺灣大學,社會工作學系,臺灣大學社會工作學系是在訓練專業的助人工作者，並將社工定位為「行動者」、「陪伴者」的角色，如果你時常關注社會中的弱勢族群、社會議題，並且希望採取實際行動，以解決/面對社會困境，那麼臺大社工系會是你首要的選擇。社工系相當重視培養學生的思辨與行動實作能力，透過參與實際行動，解決社會問題，落實社會正義。到目前為止，臺大社工系已培養出眾多社工師、實務與學術社工專業領導人才，對臺灣社會福利的發展，功不可沒。,社會大眾經常認為社工系的目的在於訓練出熱忱、溫暖與同理的助人工作者；然而，臺大社工系不僅止於此，臺大社工系立足臺灣、接軌國際，培養學生對國內外社會議題的高敏感度，並引導學生以專業技巧回應社會需求，落實社會正義。更多的是，臺大社工系也鼓勵學生成為社會的變革者，以實證研究與實地參與的方式，了解社會變遷中各種群體所面臨的多元問題，創造改變。,建議對社會工作學系有興趣的同學，可以在高中時期嘗試思考自己有哪些感興趣的社會議題、群體等（例如：貧窮、心理衛生、兒童青少年、身心障礙、多元性別、原住民族等等），並試著去關心這些議題，藉由實際去參與相關的活動、社群、專題研究等，培養對社會議題、社會需求的認識與敏感度。同時在這些探索過程中，也可以去思考是否這些議題與你個人的生命經驗有所連結、影響你對社會工作感到興趣等，這些也都有助於培養個人反思與同理能力。,"['社工人員', '社會工作研究人員', '公家機關相關人員', '專員']","['社會覺察與合作', '說服協商', '批判思考', '自省促進', '語文理解與表達', '敏銳創造', '邏輯推理', '記憶詮釋']","['親和接納', '合作互助', '主動積極', '自信肯定', '深思力行', '探究冒險', '變通開創']",https://ntusw.ntu.edu.tw/,社會工作學類
國立臺灣大學,醫學系,本系位於全國最卓越的綜合型大學醫學院中，有最優秀的師資提供多元化的學習課程及最精密的教學研究設備，同時擁有醫學中心及社區化的臨床實習機構，提供學生最優良的學習環境。本系之教育目的：培育良醫、服務社會、領導醫界、貢獻⼈類。畢業生遍及本島及世界各大醫學中心，造就眾多國家級的一流學者、國內外無數的一流臨床醫師、傑出研究人才及醫學教育家，是國內最熱門的科系。,醫學系修業年限為六年，畢業後授予醫學士學位。        本系為進行有關醫學教育的應用科學學系，教導學生修習大學共同課程、通識課程、基礎醫學課程、臨床醫學課程，並提供完整的臨床各科部實習，以期學生畢業時能具有大學學生的基本知能及一定的診斷、治療和預防生理、心理疾病的專業能力。,1. 經年累月的、心無旁鶩的持續閱讀2. 身邊隨時會有好朋友可以和自己腦力激盪、互相討論、切磋3. 學習彙整相關的知識、記憶，融會貫通4. 知其然，更要知其所以然5. 物有本末、事有始終，要能追根究柢，有要能觸類旁通,"['醫師', '公共衛生醫師', '教授／副教授／助理教授']","['語文理解與表達', '敏銳創造', '邏輯推理', '快速知覺與總結', '專注力', '自省促進', '社會覺察與合作', '問題解決', '說服協商', '批判思考', '主動學習', '記憶詮釋']","['堅毅負責', '自信肯定', '主動積極', '親和接納']",https://www.mc.ntu.edu.tw/med/Index.action,醫學學類
國立臺灣大學,牙醫學系,國立臺灣大學牙醫學系之前身為臺北帝大附屬醫院齒科學教室。光復翌年郭水前主任於醫學院講授齒科學，此為臺灣牙醫學教育之濫觴。民國42年牙醫學系成立，並於民國44年開始招收第一屆學生。本系成立時間較早，師資陣容完備，具國際視野；學系開設課程領域多元，提供完整而嚴謹的牙醫訓練。本系承襲過去優良的傳統與成就，持續開創新局，提供優質牙醫學教育。,牙醫學系屬醫藥衛生學群相關科系，是以關注口腔相關疾病的預防、診斷與治療，不只侷限於口腔，亦關注口腔與全身系統性疾病的關聯。牙醫學範疇相當廣泛，目前已有十專科，包含：家庭牙醫科、口腔顎面外科、口腔病理科、牙周病科、牙髓病科、牙體復形科、贋復補綴牙科、齒顎矯正科、兒童牙科及特殊需求者口腔醫學科等專業領域，專業分工，促進人民口腔健康的科學。,1.藉由參加營隊及學長姐的分享，釐清自己選系方向。2.培養人際溝通能力，學習團隊合作。3.培養多元興趣及跨領域學習能力4.具備抗壓性,"['牙醫師', '教授／副教授／助理教授', '公家機關相關人員']","['語文理解與表達', '數理科學', '手工操作', '批判思考', '主動學習', '問題解決', '社會覺察與合作']","['開朗活潑', '合作互助', '堅毅負責', '變通開創']",https://www.mc.ntu.edu.tw/dent/Index.action,牙醫學類
國立臺灣大學,藥學系,藥學系以「培育優良藥師、力行創新研究、服務社會人群、及奉獻領導藥界」為中心思想，將創系系主任孫雲燾教授所說「藥能壽世，學以惠民；十年樹木，百年樹人。藥學教育濟世惠民，任重道遠。」作為座右銘。 ,藥學系指與藥物相關的科學領域，包括新藥的研發、藥品的製造與品質管制、調劑與臨床藥學、藥事行政與法規以及藥物經濟等。,本系部份課程如調劑學暨臨床藥學等，必須具備色彩觀察及辨識能力。部分課程以小組討論進行，宣具有人際互動、溝通協調之能力。部分臨床課程須久站以照顧病人、具備抗壓能力、與醫療團隊溝通、建立醫病關係等，必需具備適當之視覺、聽覺、口語表達、溝通以及個人安全維護的能力。,"['藥師', '衛生教育行政工作', '藥品公司擔任行銷及學術藥師']","['數理科學', '記憶詮釋', '邏輯推理', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決', '程式設計', '資源管理', '語文理解與表達', '快速知覺與總結', '空間定向']","['主動積極', '開朗活潑', '深思力行', '探究冒險']",http://rx.mc.ntu.edu.tw/,藥學學類
國立臺灣大學,醫學檢驗暨生物技術學系,本系原名醫事技術學系，於民國45年成立迄今超過一甲子，造就一千餘名畢業生，服務於醫學檢驗與生物技術等相關領域，表現卓越。本系學士班之教育目標為:1.培育全方位醫檢專業人才。 2.培育具多元思考醫學生物技術專業人才。,"醫學檢驗暨生物技術學系是學習醫學檢驗的各項技術與原理,也涉獵生物技術方面的知識。從基礎至臨床之完整[醫學檢驗]與[醫學生物技術]知識傳授與實作訓練,致力培育出專業醫檢師與高階生醫研發人才。",培養觀察及思考的能力。,"['醫事檢驗師', '實驗化驗人員', '生物學專業與研究人員']","['記憶詮釋', '邏輯推理', '數理科學', '語文理解與表達', '敏銳創造', '快速知覺與總結', '空間定向', '同時多工', '專注力', '手工操作', '遠觀細察', '批判思考', '主動學習', '社會覺察與合作', '說服協商', '問題解決', '運作分析', '資源管理']","['主動積極', '自信肯定', '親和接納', '堅毅負責', '探究冒險']",https://www.mc.ntu.edu.tw/clsmb/Index.action,醫學檢驗學類
